pmid,model,comment,Q-1-b-3,Q-1-c-3,Q-2-b-3,Q-2-c-3,Q-3-b-3,Q-3-c-3,Q-4-b-3,Q-4-c-3,Q-5-b-3,Q-5-c-3
30167974,llama3,,-,-,-,-,-,-,-,-,The model added on additional decimal places to the Egger results ,The model has missed the bonferroni corrected result
38179043,llama3,,could detail microbiome taxa,missed the reverse MR,-,missed cholesterol and reverse MR,-,-,-,-,-,Reverse MR results not reported
36104772,llama3,,-,-,-,-,-,-,no details on numbers,-,repeated result and lacks info on exposure type,-
36305497,llama3,,-,-,-,-,-,reverse MR missing,no details on numbers,-,-,-
38365715,llama3,,-,-,-,-,-,-,-,-,-,-
34088753,llama3,,-,-,-,-,-,-,no details on numbers,-,-,-
36773317,llama3,,-,-,-,-,missing MR type,-,no details on numbers,-,-,Missing some results 
33408737,llama3,,-,-,-,-,-,-,-,-,needed info on method used per result,-
36980988,llama3,,-,-,-,-,-,missed other methods used,Picked up wrong text from abstract,-,-,missed other method results
36895273,llama3,,-,missing exposure,-,-,-,-,no details on numbers,-,-,missing multivariable
38298515,llama3,,-,-,-,missing positive control,not info method info,-,-,-,-,missing multiple results
37933065,llama3,,-,-,-,-,-,missing method,-,-,-,missing sensitivity results
36333784,llama3,,-,-,-,-,-, missing method,-,-,-,-
38378549,llama3,,-,-,-,-,-,-,-,-,-,-
38179450,llama3,,-,-,-,-,-,-,-,-,-,-
30707692,llama3,,-,-,phewas but only a few traits listed,-,-,-,no details on numbers,-,-,-
35992145,llama3,,-,-,-,missing bidirectional outcomes ,-,-,missing detail,missing most numbers,-,missing null results and confirming analyses
38622701,llama3,,-,-,-,-,-,missing sensitivity,-,-,-,-
31661179,llama3,,-,missing exposure subtypes,-,-,-,-,no info output,missing all information needed,-,-
36789917,llama3,,-,-,-,-,-,-,-,-,-, missing result
38672162,llama3,,-,-,-,-,-,-,-,missing a pop,missing info on method per result,-
35957835,llama3,,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output
37495778,llama3,,-,-,-,-,-,-,no details on numbers,-,-,missing sensitivity results
32062614,llama3,,-,missing other exposure in bidirectional,-,missing other outcome in bidirectional,-,-,-,-,-,missing reverse
34227468,llama3,,-,-,need info on pheWAS,-,needs info about phewas,-,tissue information not population,wrong result,-,missing results
37271768,llama3,,-,-,-,-,-,missing LOO,missing sample size,-,-,missing sensiticity
38643889,llama3,,-,-,-,-,-,-,-,-,-,-
38625888,llama3,,-,-,-,-,-,-,-,-,-,-
38156559,llama3,,-,-,-,-,-,missing bidirectional,-,-,-,missing sensitivity results
37675772,llama3,,-,-,-,-,-,-,missing output,missing output,-,-
34727949,llama3,,no detail on what consistutes thyroid status,-,missing the metabolic markers that explain the outcome,-,missing the multivariable regression,-,-,-,missing info on the outcomes,-
38242214,llama3,,-,-,-,-,-,missed reverse MR,missing sample size,-,-,missing reverse
38699385,llama3,,-,-,-,-,-,missed FUMA,missing sample size,-,-,missing reverse and in detail
37693321,llama3,,-,-,-,-,-,missing reverse,-,-,missing infor on SMI for each result,-
35656325,llama3,,-,-,-,missing reverse,-,missing reverse,missing sample size,-,-,missing results
37432894,llama3,,-,-,-,-,-,-,-,-,-,-
38409624,llama3,,-,-,-,-,-,-,-,-,-,missing null results 
38504987,llama3,,-,-,-,-,-,-,missing sample size,-,-,-
35703944,llama3,,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output
38584824,llama3,,-,-,-,-,10,missing MR,-,-,-,missing negative results
37925898,llama3,,-,-,-,-,-,replication analysis missing,missing numbers,-,-,-
35726641,llama3,,-,-,-,-,-,-,missing numbers,-,-,missing key results
35594314,llama3,,-,-,-,-,missing details on PRS,-,missing numbers and details,-,-, missing negative reaults
38030236,llama3,,-,-,-,-,-,-,missing numbers and details,-,missing detailed results on the number of genes in results,-
37718242,llama3,,-,-,-,-,-,missing MR method,-,-,-,-
32714368,llama3,,-,-,-,-,-,-,-,-,-,missing null results
35011056,llama3,,-,-,-,-,-,missing univariable MR,-,-,-,missing null and multivariant results
34023889,llama3,,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output
36936171,llama3,,-,-,-,-,-,missing bidirectional,-,-,-,missing reverse result
36738839,llama3,,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output
37822602,llama3,,-,-,-,-,-,missing some sensitivity,missing info on the sample size,missing secondary populations,-,missing null result
32529581,llama3,,-,-,-,-,-,-,missing sample size,-,-,-
36793015,llama3,,-,-,-,-,-,missing reverse MR,missing info on the origin of samples,missing other population info,-,-
36909950,llama3,,-,-,-,-,-,-,-,-,-,missing main and null results
36514134,llama3,,-,-,-,-,-,-,-,-,-,missing suggestive results
37829610,llama3,,-,-,-,-,-,-,-,-,no info on fdr corrected or not,-
38782862,llama3,,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output,missing output
35761866,llama3,,-,-,-,-,-,-,missing sample size,-,-,missing reverse results
37409643,llama3,,-,-,-,-,-,-,-,-,-,-
32433745,llama3,,missing info on vitamin b6 ,missing suggestive exposure,-,-,-,-,-,-,-,only output listed results and not the 28 mentioned
33657885,llama3,,,,,,,,,,,
38746746,llama3,,-,-,-,-,-,-,-,-,-,-
36247759,llama3,,-,-,-,-,-,-,-,missing outcome population,-,missing null results
37422736,llama3,,-,-,-,-,-,-,-,-,-,-
36924037,llama3,,-,-,-,-,-,-,-,-,-,missing null results
37916108,llama3,,-,-,-,-,-,-,-,-,-,missing null results
38716647,llama3,,-,-,-,-,missing type of MR,-,missing sample size,-,-,missing null results
37565992,llama3,,-,-,-,-,-,missing sensitivity test,-,-,-,-
38263277,llama3,,-,-,-,-,-,-,-,-,-,missing sensitivity results
35615025,llama3,,-,-,-,-,-,-,-,-,-,-
38280379,llama3,,-,-,-,-,no info on type of MR study,-,-,-,-,-
23900446,llama3,,-,-,-,-,-,missing MR method,missing sample size,-,-,missing MR result
38264282,llama3,,-,-,-,-,-,-,-,-,-,missing null results
37158995,llama3,,-,-,-,-,-,-,-,-,-,missing secondary result
37668928,llama3,,-,-,-,-,-,missing sensitivity test,-,-,-,-
21282362,llama3,,-,-,-,-,-,-,-,missing outcome population,-,missing null results
32309857,llama3,,-,-,-,-,type of MR missing,-,missing sample size,-,-,-
32493397,llama3,,-,-,-,-,-,-,missing sample size,-,-,missing in text and null results
31733098,llama3,,-,-,-,missing bidirectional outcomes,-,-,-,-,-,missing null result
37789337,llama3,,-,-,-,-,-,-,-,-,-,-
37904919,llama3,,-,-,-,-,-,missing replication,-,-,-,-
38725159,llama3,,-,missing primary exposures,-,-,-,-,-,-,-,-
38053214,llama3,,-,missing some exposures ,-,-,-,-,-,-,-,-
33125193,llama3,,-,-,-,-,-,missing reverse mr,-,-,-,missing null result
38246357,llama3,,-,-,-,-,-,missing method,missing sample size,-,-,missing null results and written out results
37787818,llama3,,-,-,-,-,-,-,missing sample size,-,-,missing some main results
38765751,llama3,,-,-,-,-,-,-,-,-,-,missing multivariate results
31908803,llama3,,-,-,-,-,-,missing sensitivity test and validation,missing sample size,-,-,missing null result
37638499,llama3,,-,-,-,-,-,-,-,-,missing output,missing output
38516009,llama3,,-,-,-,-,-,-,-,-,-,-
38576413,llama3,,-,-,-,-,-,-,missing sample size,-,-,missing overall result
35575213,llama3,,missing details on exposures,-,-,-,-,-,-,-,-,-
38646850,llama3,,-,-,-,-,-,missing mr method,missing sample size,-,-,missing reverse
38511766,llama3,,-,-,-,-,-,-,-,-,missing info on the origin of each result,-
37052410,llama3,,missing output,missing output,missing output,missing output,missing output,-,missing output,missing output,missing output,missing output
29232439,llama3,,-,-,-,-,-,missing method,-,-,-,-
34184784,llama3,,-,-,-,-,type of MR missing,-,missing sample size,-,-, missing null MR result
38007229,llama3,,-,-,-,-,-,missing reverse MR,no detail,-,missing details about the origin of the results,missing primary results
38293563,llama3,,-,-,-,-,-,-,-,-,-,missing primary results
34025845,llama3,,-,-,-,-,-,-,-,-,-,missing primary results
30167974,llama3-2,,-,-,-,-,-,-,"the model hasnt listed a population, just a data source",-,The model added on additional decimal places to the Egger results ,The model has missed the bonferroni corrected result
38179043,llama3-2,,could detail microbiome taxa,missed the reverse MR,-,missed cholesterol and reverse MR,-,-,-,-,-,Missed the reverse MR
36104772,llama3-2,,-,-,-,-,-,-,no details on numbers,-,No info on ancestry in results,-
36305497,llama3-2,,-,-,-,-,-,reverse MR missing,no details on numbers,-,-,-
38365715,llama3-2,,-,-,-,-,-,-,-,-,-,-
34088753,llama3-2,,-,-,-,-,-,-,no details on numbers,-,-,-
36773317,llama3-2,,-,-,-,-,missing MR type,-,no details on numbers,-,-,-
33408737,llama3-2,,-,-,-,-,-,-,-,-,needed info on method used per result,-
36980988,llama3-2,,-,-,-,-,-,missed other methods used,Picked up wrong text from abstract,-,-,-
36895273,llama3-2,,-,-,-,-,-,-,no details on numbers,-,-,missing multivariable
38298515,llama3-2,,-,-,-,missing positive control,not info method info,-,-,-,-,missing multiple results
37933065,llama3-2,,-,-,-,-,-,-,-,-,-,missing sensitivity results
36333784,llama3-2,,-,-,-,missing outcomes,-, missing method,-,-,-,-
38378549,llama3-2,,-,-,-,-,-,-,-,-,-,-
38179450,llama3-2,,-,-,-,-,-,-,-,-,-,-
30707692,llama3-2,,-,-,phewas but only a few traits listed,-,-,-,-,-,-,-
35992145,llama3-2,,-,-,-,missing bidirectional outcomes ,-,missing bidirectional MR,missing detail,missing most numbers,missing details on confirming results ,-
38622701,llama3-2,,-,-,-,-,-,missing sensitivity,-,-,-,-
31661179,llama3-2,,-,missing exposure subtypes,-,-,-,-,-,-,-,-
