{'results': [{'exposure': 'alcohol consumption',
   'outcome': "Parkinson's disease",
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'decreases'},
  {'exposure': 'alcohol consumption',
   'outcome': 'prostate hyperplasia',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'decreases'},
  {'exposure': 'alcohol consumption',
   'outcome': 'rheumatoid arthritis',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'decreases'},
  {'exposure': 'alcohol consumption',
   'outcome': 'chronic pancreatitis',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'},
  {'exposure': 'alcohol consumption',
   'outcome': 'colorectal cancer',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'},
  {'exposure': 'alcohol consumption',
   'outcome': 'head and neck cancers',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'},
  {'exposure': 'problematic alcohol use',
   'outcome': 'alcoholic liver disease',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'},
  {'exposure': 'problematic alcohol use',
   'outcome': 'cirrhosis',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'},
  {'exposure': 'problematic alcohol use',
   'outcome': 'acute pancreatitis',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'},
  {'exposure': 'problematic alcohol use',
   'outcome': 'chronic pancreatitis',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'},
  {'exposure': 'problematic alcohol use',
   'outcome': 'pneumonia',
   'beta': None,
   'units': None,
   'odds ratio': None,
   'hazard ratio': None,
   '95% CI': None,
   'SE': None,
   'P-value': None,
   'direction': 'increases'}],
 'resultsinformation': {'error': 'No beta, odds ratio, hazard ratio, 95% CI, standard error, and P-value provided in abstract',
  'explanation': 'P-values were string, not numeric values'}}
